stage,objective
1,340078.4790400006
2,510665.58066000044
3,510658.04256
4,532912.4651599992
5,532890.7423599996
6,510634.7057600003
7,532865.4527599998
8,510609.71876000054
9,510632.8277599998
10,389662.7396600004
11,702191.962103948
12,803098.8080599997
13,336195.40644000005
14,256788.5378399999
15,256627.49164000014
16,256680.4128399999
17,281713.8023389308
18,268752.09054000024
19,310002.04084000015
20,281859.66623999993
21,336149.96973999985
22,689772.8614399217
23,530257.3491142861
24,1.2818219087000003e6
