from,to,value
1,1,0.0
1,2,3414.0577005512605
1,3,280.17399999999355
1,4,0.0
1,5,1001.5540000000065
2,1,34.79701872228193
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
5,1,0.0
5,2,0.0
5,3,95.44599999999882
5,4,906.1079999999992
5,5,0.0
