region,depth,value
1,1,2327.55
1,2,550.75
1,3,0.0
1,4,340.75
2,1,2327.55
2,2,550.75
2,3,0.0
2,4,340.75
3,1,4655.1
3,2,1101.5
3,3,0.0
3,4,0.0
4,1,1127.2227823461637
4,2,0.0
4,3,0.0
4,4,0.0
