stage,objective
1,2.7002356920000017e6
2,2.2093930754999965e6
3,1.52818032826427e6
4,1.5281780618522018e6
5,1.4786475318229385e6
6,802945.5125553422
7,1.2639306222556494e6
8,1.5281770829340518e6
9,1.4786443385000005e6
10,802946.9839405138
11,1.814159859230712e6
12,803671.3532599993
13,1.0051638327000011e6
14,1.5281740562648438e6
15,2.4214347107916437e6
16,2.284854074177975e6
17,3.992544652368333e6
18,1.9559935594999995e6
19,2.2093935651522093e6
20,730036.7750599999
21,2.372092814755042e6
22,3.7993656542999987e6
23,1.086300237905724e6
24,1.7072690357993632e6
