from,to,value
1,1,0.0
1,2,2514.6099760215093
1,3,143.2420731970142
1,4,0.0
1,5,381.7676349554272
2,1,917.7195897837726
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,398.0404840802886
3,2,0.0
3,3,0.0
3,4,0.0
3,5,919.6732952617758
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,1591.353419755495
5,1,2114.778817806592
5,2,0.0
5,3,521.2042993211777
5,4,256.81123284466884
5,5,0.0
