plant,unit,value
1,1,657.0
1,2,1350.0
1,3,1.08
1,4,224.89677107667117
1,5,205.42
1,6,26.88
1,7,529.0
1,8,9.24
1,9,255.0
1,10,233.9497
1,11,358.93896653094885
1,12,270.2
1,13,23.2
1,14,199.06103439065024
1,15,14.41
1,16,81.78
1,17,195.84
1,18,599.95
1,19,640.8365573121639
1,20,400.0
1,21,100.0
1,22,198.0
1,23,162.24
1,24,211.01947417128702
1,25,26.32
1,26,46.0
1,27,149.6
1,28,5.4
1,29,13.44
1,30,246.4
1,31,32.0
1,32,250.26
1,33,247.68
1,34,149.64
1,35,7.68
1,36,74.8
1,37,1026.7480174806158
1,38,862.4520000000005
1,39,0.2
1,40,197.0
1,41,85.75
1,42,175.1
1,43,4.32
2,1,10.445
2,2,388.0
2,3,388.0
2,4,350.0
2,5,27.37
2,6,69.3
2,7,3.6
2,8,17.911999999999992
2,9,91.08189498305029
2,10,129.89839999999998
2,11,257.4216
2,12,358.95059999999995
2,13,1.2
2,14,123.7098
2,15,313.55
2,16,15.65
2,17,614.4
3,1,3.9
3,2,3.3
3,3,9.6
3,4,3.3
3,5,13.978488472452462
3,6,30.4
3,7,30.0
3,8,3.9
3,9,4.5
3,10,202.4
3,11,52.8
3,12,3.9
3,13,4.5
3,14,126.70000000009706
3,15,345.76
3,16,75.99
3,17,75.99
3,18,4.5
3,19,30.6
3,20,4.5
3,21,96.39431587166604
3,22,3.9
3,23,3.9
3,24,10.3
3,25,23.813999999999968
3,26,6.89
3,27,8.604311427584138
3,28,154.38
3,29,26.0
3,30,15.6
3,31,87.21
3,32,531.158
3,33,219.25361143105536
4,1,84.66
4,2,84.66
