stage,objective
1,2.7002356920000017e6
2,3.021768821411103e6
3,3.021776605853483e6
4,2.7002435709827244e6
5,3.0217742443631217e6
6,3.021768452223383e6
7,3.021771333499998e6
8,3.1520274156840146e6
9,2.116423093800012e6
10,1.6744360355000012e6
11,1.7354066126219314e6
12,741198.1577000003
13,817886.3111000005
14,988611.3412180729
15,1.528172329284504e6
16,2.284855780851351e6
17,2.902414649812121e6
18,3.021769211537184e6
19,3.021768123035703e6
20,3.0217694463237524e6
21,3.021767115668174e6
22,668763.9563504134
23,256468.84891518205
24,245083.02260000003
