stage,objective
1,2.7002356920000017e6
2,3.0217854841696993e6
3,2.421443903140582e6
4,3.021770636560641e6
5,3.1520311595977694e6
6,3.0217703960999995e6
7,3.021771298152894e6
8,3.0217706072524786e6
9,3.021771197999999e6
10,1.5281759914007336e6
11,1.5319012407681532e6
12,2.2093921798319593e6
13,3.0217698601330444e6
14,1.8630220883699395e6
15,3.9925480185000002e6
16,3.799362535099998e6
17,3.0217731904999986e6
18,2.542889799138345e6
19,3.021873269629184e6
20,3.0218264204372074e6
21,3.9122134985457025e6
22,3.6180942195034986e6
23,3.5553922360450104e6
24,1.3994959288395813e6
