plant,unit,value
1,1,584.4846762901526
1,2,1210.087759276702
1,3,1.728
1,4,109.49991255096641
1,5,71.4924207300306
1,6,9.072
1,7,267.5438497096724
1,8,3.08
1,9,238.36489179723173
1,10,214.54111270480115
1,11,108.80500061242188
1,12,72.08507740167883
1,13,8.912617783302267
1,14,60.30168903549643
1,15,7.777013884347562
1,16,24.972664783601978
1,17,59.28684711710892
1,18,141.05442048527405
1,19,154.95171423061552
1,20,399.99465999999904
1,21,45.892530460162405
1,22,87.15760736984046
1,23,56.67565041841456
1,24,38.20030877250316
1,25,8.008
1,26,15.304094992506652
1,27,27.617932305619718
1,28,1.9306749816244992
1,29,8.745235912960343
1,30,50.81398919109392
1,31,20.0
1,32,109.70008959297026
1,33,85.2821867396716
1,34,34.05508961993396
1,35,3.84
1,36,24.52108114833297
1,37,432.4186763036656
1,38,270.53700886814784
1,39,0.48
1,40,167.0706451703706
1,41,14.402797228847831
1,42,53.01459172891588
1,43,2.7
2,1,3.96
2,2,99.97350692056553
2,3,105.44000541344306
2,4,275.1307926921103
2,5,10.304
2,6,39.87
2,7,1.112
2,8,11.856800000000083
2,9,44.8
2,10,94.8800338148021
2,11,181.7638252902381
2,12,281.14962333887763
2,13,1.2
2,14,80.1041162458115
2,15,191.97296701679508
2,16,7.94
2,17,199.31166763659104
3,1,1.248
3,2,1.012
3,3,3.2224261706355675
3,4,1.034
3,5,12.378891240098
3,6,11.75059102032284
3,7,11.025431490479587
3,8,1.248
3,9,1.44
3,10,71.11916493086876
3,11,18.269091364549052
3,12,1.2492178297912688
3,13,1.44
3,14,42.58927589447868
3,15,282.84276561831985
3,16,18.378552207116307
3,17,17.036714917872704
3,18,1.4107661796948232
3,19,9.545940519232797
3,20,1.44
3,21,23.67318992687537
3,22,1.248
3,23,1.248
3,24,4.738
3,25,8.784099227073229
3,26,3.286
3,27,4.206083759191212
3,28,53.239522081942326
3,29,6.7
3,30,7.8379585036235495
3,31,22.594104164201717
3,32,439.68621195403045
3,33,58.555051318127035
4,1,22.537572058232612
4,2,21.141295770377788
