stage,objective
1,340078.4790400006
2,336225.4217399992
3,510637.5235600006
4,532988.8590600006
5,532937.53706
6,510659.1803600006
7,532860.63906
8,532873.8307600003
9,532881.3817599993
10,716964.9953600001
11,717123.1440600008
12,802998.9913599994
13,310208.1579400003
14,256653.09893999994
15,256591.25353999995
16,255201.44540699758
17,245166.82992948708
18,245152.4478915676
19,253609.41384000005
20,256482.4851989455
21,248420.10814000003
22,256479.49514
23,268759.9427399999
24,245186.11950000003
