stage,objective
1,340078.4790400006
2,510676.9509599991
3,510675.70025999844
4,532950.7431600001
5,532937.53706
6,510722.6253600009
7,532904.0701599997
8,532920.3501600008
9,532871.8801600002
10,711596.0221843496
11,717036.0449599996
12,803098.8080599997
13,336195.40644000005
14,281816.8380400003
15,256689.71944000013
16,336287.2503399998
17,389701.4784599999
18,532866.9261600003
19,532877.4045599997
20,670284.0358936009
21,802984.3988600001
22,927373.7545599968
23,477211.8340585652
24,1.0699414021599982e6
