stage,objective
1,2.7002356920000017e6
2,3.0217739979534224e6
3,1.8630339225418866e6
4,1.863022141524084e6
5,2.116422858733773e6
6,3.021772464732349e6
7,2.2848517119339257e6
8,2.754865026717838e6
9,2.421428496380776e6
10,1.5281758473000005e6
11,2.690032269757878e6
12,2.284856839963354e6
13,1.0431871367870197e6
14,687215.9076000005
15,874681.6331898067
16,737192.6320147477
17,1.0431881383285709e6
18,1.1265571411802918e6
19,730527.0225000004
20,465905.7490107324
21,700310.9240155655
22,337092.98024751106
23,391647.2977069199
24,245091.0963151848
