stage,objective
1,2.7002356920000017e6
2,3.0217702164376006e6
3,3.0217892519859895e6
4,3.0217674719881713e6
5,3.0217686719764695e6
6,3.294876243570529e6
7,3.622170753086418e6
8,3.3678341359210312e6
9,3.021766319523193e6
10,3.3309906867876425e6
11,3.0217723813329525e6
12,3.021767055644177e6
13,4.837802424460411e6
14,9.50165053525044e6
15,9.53484275170809e6
16,9.00230370568677e6
17,9.387943934302747e6
18,9.359879796768308e6
19,1.8397882375165865e7
20,1.858334704609716e7
21,1.8660381366563246e7
22,1.2848344800197367e7
23,2.038001553303053e7
24,478056.09757737146
