stage,objective
1,2.7002356920000017e6
2,3.0217702164376006e6
3,1.8630337592340112e6
4,2.2848643533398733e6
5,2.2528412491589487e6
6,2.2848521385629773e6
7,2.2848545434999987e6
8,2.2848545474999994e6
9,2.1164215560000017e6
10,3.021771373499997e6
11,3.7993625434999987e6
12,4.1889178451000005e6
13,3.9164677488660067e6
14,3.7121105162438527e6
15,1.5281817934163734e6
16,3.021772341106005e6
17,3.9925489119577184e6
18,3.9179441500816196e6
19,3.0217684973364156e6
20,3.215839446145527e6
21,3.52016784303616e6
22,2.6708067344126315e6
23,3.956444698428029e6
24,1.6285927487278739e7
