stage,objective
1,340078.4790400006
2,510771.6849600002
3,510652.3721600007
4,510654.4611600004
5,510660.70126000047
6,510610.1299600005
7,532870.2357599996
8,510609.71876000054
9,532858.492659999
10,488372.4589115232
11,716976.0358600002
12,510808.3838599995
13,687293.20976
14,717107.6645600004
15,533142.0212599998
16,803034.7251599999
17,803003.3893600004
18,927307.0325600002
19,803047.0885600005
20,1.0051618352600005e6
21,875021.5661052614
22,1.2710921177062066e6
23,1.6459171243319975e6
24,1.2818219087000003e6
