stage,objective
1,2.7002356920000017e6
2,2.2848526440000013e6
3,2.1164332402724326e6
4,2.284850839758627e6
5,2.2848553634008095e6
6,2.116422069038365e6
7,2.6632659329480305e6
8,2.2848564945e6
9,1.8630279070149995e6
10,1.5281902920930795e6
11,1.5281768618648797e6
12,2.6839513110999987e6
13,3.0217686195179746e6
14,1.005168524565924e6
15,1.863048733668672e6
16,2.2848532009999994e6
17,3.520171939101752e6
18,3.7108471178642735e6
19,3.0217695106926467e6
20,4.5334432920366e6
21,3.9925444775705915e6
22,3.940519377275993e6
23,4.994159470732712e6
24,1.5102257291130282e6
