stage,objective
1,340078.4790400006
2,336198.84203999955
3,291951.83224000037
4,310081.62433999963
5,310023.1254399996
6,310044.24684000015
7,310026.60984000005
8,310008.7958399998
9,291877.96483999956
10,291906.1827400001
11,281687.66873999964
12,268894.2567400001
13,336483.72393999994
14,716975.2192599997
15,532971.7724599997
16,803084.2411599997
17,803022.2226600004
18,803718.3208600003
19,844538.8229600005
20,741202.1619600002
21,802956.9528600001
22,446787.9722687823
23,268844.88004
24,245191.95020000002
