stage,objective
1,2.7002356920000017e6
2,3.021772739269696e6
3,2.683973152354181e6
4,3.0217687294438556e6
5,3.02176851550588e6
6,2.1164227792419866e6
7,3.021771333499998e6
8,3.021771438000001e6
9,3.0217686832170635e6
10,3.696408980089903e6
11,4.215614769500002e6
12,3.0217716507994346e6
13,4.83780543648883e6
14,4.0316080134999976e6
15,4.837809684191741e6
16,5.126742429711789e6
17,3.9925520330781937e6
18,1.5281750910999998e6
19,1.5281782057111003e6
20,1.5281770424999995e6
21,1.6587735455288757e6
22,4.792268280545524e6
23,7.32175392219449e6
24,3.5059656941824523e6
