stage,objective
1,2.7002356920000017e6
2,802958.680424802
3,1.6287471541492008e6
4,2.2848561414337754e6
5,1.5281782304277234e6
6,1.4786434900704287e6
7,1.8151920462875068e6
8,1.5281768660035878e6
9,1.4786443385000005e6
10,1.5281771805000007e6
11,2.1164225964806154e6
12,802945.2871599998
13,291862.5349899996
14,256474.4990587742
15,248451.79295150423
16,245103.1996874381
17,245141.67207784718
18,245122.6906469653
19,245114.26073716115
20,245106.98235959082
21,245102.89371524006
22,245091.01633707795
23,245085.39757769386
24,245083.02260000003
