plant,unit,value
1,1,625.49
1,2,1288.9193833336603
1,3,0.0
1,4,96.72792589220379
1,5,62.76400000000007
1,6,12.6
1,7,475.91211608221107
1,8,0.0
1,9,254.29559999999998
1,10,220.64590000000015
1,11,131.24
1,12,38.6
1,13,0.0
1,14,45.451505881732835
1,15,0.0
1,16,34.8
1,17,89.76
1,18,57.80038156130476
1,19,84.03766628180466
1,20,399.99710000000005
1,21,69.0
1,22,132.0
1,23,84.5
1,24,3.86
1,25,11.2
1,26,2.0
1,27,2.72
1,28,0.0
1,29,0.0
1,30,4.4
1,31,0.0
1,32,160.87760634112274
1,33,116.1
1,34,2.58
1,35,0.0
1,36,0.07326509058310104
1,37,615.7478089535912
1,38,214.05599999999967
1,39,0.0
1,40,195.71959999999999
1,41,1.75
1,42,38.41662250978156
1,43,0.0
2,1,0.0
2,2,85.23722592885348
2,3,78.22001187773047
2,4,306.6
2,5,0.0
2,6,44.698666759197586
2,7,0.92
2,8,11.439199999999976
2,9,40.0
2,10,102.5775999999999
2,11,197.9024000000003
2,12,304.95860000000016
2,13,0.0
2,14,93.93719999999996
2,15,229.6805718612634
2,16,6.5
2,17,282.53668323192517
3,1,0.13
3,2,0.11
3,3,0.32
3,4,0.11
3,5,0.7000000000000013
3,6,0.0
3,7,0.0
3,8,0.13
3,9,0.15
3,10,48.43410015870761
3,11,0.0
3,12,0.13
3,13,0.15
3,14,30.36
3,15,304.84
3,16,1.49
3,17,1.49
3,18,0.15
3,19,1.02
3,20,0.15
3,21,1.68
3,22,0.13
3,23,0.13
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,33.48
3,29,0.5
3,30,0.0
3,31,1.71
3,32,475.8980000000002
3,33,3.23
4,1,1.66
4,2,1.66
