stage,objective
1,340078.4790400006
2,336225.4217399992
3,291970.16153999977
4,310102.9663399998
5,310070.6664399998
6,310025.0493400004
7,310015.5788399996
8,310008.7958399998
9,310046.79734000005
10,291907.5697400002
11,281712.7257399997
12,310295.4079400003
13,310060.89563999977
14,281731.96663999977
15,253665.86373999994
16,256677.89674000023
17,256505.36204000004
18,245106.27174
19,253601.2337397104
20,245154.25813455065
21,245087.41204000008
22,248420.62255449413
23,245158.95720928063
24,245490.0503707194
