stage,objective
1,2.7002356920000017e6
2,4.364524618917897e6
3,4.1889278360446543e6
4,3.9925548384957686e6
5,4.196314301873565e6
6,3.8792031687797382e6
7,3.021771137393318e6
8,3.021767312543802e6
9,3.0217734184999987e6
10,3.0217700609648116e6
11,2.3942683625000007e6
12,3.9925444509443417e6
13,4.837806333593294e6
14,9.501640324000001e6
15,5.170945671522446e6
16,5.126744221089736e6
17,1.2639450115189608e6
18,4.364530812313985e6
19,4.819086902999997e6
20,4.609277291996431e6
21,3.6964133384999987e6
22,7.728484175328087e6
23,4.366355926657553e6
24,1.72600747582772e6
