stage,objective
1,2.7002356920000017e6
2,3.0217790184039325e6
3,2.284850472410254e6
4,3.021769428309113e6
5,3.0217719343344867e6
6,2.4214333191e6
7,3.021773280500002e6
8,3.021770094907865e6
9,2.8096513044314235e6
10,3.152032840499997e6
11,3.0217705222379565e6
12,741198.1577000003
13,281652.2509899996
14,291866.59152700286
15,310001.6875580065
16,268728.97584054247
17,281654.6470674509
18,245090.68721999996
19,245092.40690470533
20,245091.47022000013
21,245294.1898378865
22,245092.98948727798
23,245092.03878714528
24,267653.80062850105
