plant,unit,value
1,1,656.178
1,2,1348.38
1,3,1.08
1,4,185.16200000000066
1,5,155.4904
1,6,22.68
1,7,525.826
1,8,6.688
1,9,255.0
1,10,230.37868000000032
1,11,284.2876549221187
1,12,192.61555201005626
1,13,18.56
1,14,152.89444959292052
1,15,11.79
1,16,66.816
1,17,158.70771415838954
1,18,420.2593058959767
1,19,439.81260799117103
1,20,399.99967999999996
1,21,95.2
1,22,183.2
1,23,138.242
1,24,134.64857877632713
1,25,21.28
1,26,35.81295660577739
1,27,95.5778948763766
1,28,3.84
1,29,10.08
1,30,158.0357183768313
1,31,24.0
1,32,230.136
1,33,210.05281566658314
1,34,105.7003915965282
1,35,6.272
1,36,56.44
1,37,894.4097147887289
1,38,648.9803982335468
1,39,0.16
1,40,197.0
1,41,54.23970191556582
1,42,134.89214139831822
1,43,3.24
2,1,8.448
2,2,284.56539584314595
2,3,283.5044231600654
2,4,343.28
2,5,20.608
2,6,61.11
2,7,2.76
2,8,15.698720000000073
2,9,75.1
2,10,120.33611999999984
2,11,237.27663999999936
2,12,341.9431199999998
2,13,1.392
2,14,114.28217788921367
2,15,286.89
2,16,12.8
2,17,516.57856881851
3,1,2.6
3,2,2.1881714875292917
3,3,6.528
3,4,2.134
3,5,11.827726960129755
3,6,22.177114453501215
3,7,21.413890541426582
3,8,2.522
3,9,2.91
3,10,150.19452060412655
3,11,35.956859799229356
3,12,2.522
3,13,2.9283264604667663
3,14,93.84
3,15,337.328
3,16,48.276
3,17,48.507010611488255
3,18,2.91
3,19,20.12932349353742
3,20,2.97
3,21,61.29387993744782
3,22,2.522
3,23,2.6
3,24,8.858
3,25,18.224
3,26,5.512
3,27,6.864
3,28,118.96804067517611
3,29,17.1
3,30,13.174658560972826
3,31,55.93185326069315
3,32,522.6847999999997
3,33,138.18683425683042
4,1,59.86585042491213
4,2,58.810987917048486
