stage,objective
1,2.7002356920000017e6
2,3.021772052401699e6
3,2.4214448596053272e6
4,1.528186359407872e6
5,2.209401146217756e6
6,3.021775830546342e6
7,3.021773280500002e6
8,3.021771438000001e6
9,2.1164215560000017e6
10,1.0024313322599996e6
11,663349.6447152868
12,1.5281750839999989e6
13,1.00516022676e6
14,532866.8093890995
15,802948.6012600008
16,687218.9648730028
17,802945.2960705953
18,1.5281749583284669e6
19,1.4411848425594158e6
20,2.440161008096245e6
21,3.235913753054999e6
22,1.21575950066e6
23,3.99261836470785e6
24,477636.4806810184
