stage,objective
1,2.7002356920000017e6
2,3.0217712170068026e6
3,3.7121208332748115e6
4,4.1889271327082366e6
5,3.021772137056887e6
6,3.0217731309080794e6
7,3.0217710075573176e6
8,3.084219124499999e6
9,1.9893137082599998e6
10,2.29759205738429e6
11,987203.7221016828
12,913043.7632724866
13,1.04318775526e6
14,802946.8279017098
15,336146.41822405066
16,256477.82094202703
17,253531.01071947836
18,248406.54621689487
19,245092.6236870936
20,248407.77122
21,245292.76673999976
22,281653.19755581405
23,249453.62183552323
24,381271.33762713976
