plant,unit,value
1,1,657.0
1,2,1350.0
1,3,0.36
1,4,61.20700000000011
1,5,29.32899999999995
1,6,7.377279025782618
1,7,529.0
1,8,0.44
1,9,255.0
1,10,219.9457000000001
1,11,55.64110566169562
1,12,3.86
1,13,1.45
1,14,4.52
1,15,1.31
1,16,13.542026305528852
1,17,42.84
1,18,9.23
1,19,9.23
1,20,400.0
1,21,97.0
1,22,176.0
1,23,47.037608453146596
1,24,3.86
1,25,4.2
1,26,2.0
1,27,2.72
1,28,0.3
1,29,1.68
1,30,4.4
1,31,4.0
1,32,170.28
1,33,69.66
1,34,2.58
1,35,0.64
1,36,3.4
1,37,614.1649999999994
1,38,39.09200000000003
1,39,0.1
1,40,197.0
1,41,1.75
1,42,2.06
1,43,0.54
2,1,0.66
2,2,4.85
2,3,4.85
2,4,350.0
2,5,1.61
2,6,33.75
2,7,0.08
2,8,9.664399999999976
2,9,26.310216904831726
2,10,90.49339999999992
2,11,173.17016931235128
2,12,302.2590000000002
2,13,0.24
2,14,92.41039999999995
2,15,223.6408606435933
2,16,5.15
2,17,157.91203034468072
3,1,0.13
3,2,0.11
3,3,0.32
3,4,0.11
3,5,0.7000000000000013
3,6,1.52
3,7,1.5
3,8,0.13
3,9,0.15
3,10,4.4
3,11,2.2
3,12,0.13
3,13,0.15
3,14,2.76
3,15,332.12
3,16,1.49
3,17,1.49
3,18,0.15
3,19,1.02
3,20,0.15
3,21,1.68
3,22,0.13
3,23,0.13
3,24,0.135
3,25,1.36
3,26,0.53
3,27,0.66
3,28,1.86
3,29,0.5
3,30,0.0
3,31,1.71
3,32,510.8960000000001
3,33,3.23
4,1,1.66
4,2,1.66
