stage,objective
1,340078.4790400006
2,389698.8419599999
3,373924.04928000085
4,310088.84224000014
5,310015.6799400002
6,310019.4358400004
7,310037.45583999995
8,310072.9548399998
9,310091.8153400002
10,310045.5697400002
11,336249.7512400001
12,336262.9024400003
13,310119.5904400004
14,256636.84783999994
15,248494.85764000006
16,245184.94934000005
17,245165.66394000011
18,245136.24074000004
19,245168.24359999993
20,245145.19997977768
21,245086.54806000006
22,245092.35621429433
23,245149.24136570567
24,245147.29744000002
