plant,unit,value
1,1,657.0
1,2,1350.0
1,3,0.0
1,4,63.11400000000012
1,5,29.32899999999994
1,6,7.56
1,7,529.0
1,8,0.0
1,9,255.0
1,10,213.64390000000014
1,11,7.72
1,12,3.86
1,13,0.0
1,14,4.52
1,15,0.0
1,16,1.74
1,17,47.94548155161636
1,18,9.23
1,19,9.23
1,20,399.9999
1,21,99.0
1,22,162.0
1,23,49.01
1,24,0.0
1,25,0.56
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,1.250200000000358
1,31,0.0
1,32,207.31062910254497
1,33,73.73548587861472
1,34,2.58
1,35,0.0
1,36,0.0
1,37,455.3002568883592
1,38,49.25264105151514
1,39,0.0
1,40,197.0
1,41,0.0
1,42,4.12
1,43,0.0
2,1,0.0
2,2,4.85
2,3,4.85
2,4,348.6
2,5,0.0
2,6,27.9
2,7,0.08
2,8,9.664399999999974
2,9,26.5
2,10,92.10310192868684
2,11,176.1550000000003
2,12,280.6622000000002
2,13,0.0
2,14,79.43259999999995
2,15,188.85
2,16,5.15
2,17,171.13506310391304
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.7000000000000013
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,4.4
3,11,0.0
3,12,0.0
3,13,0.0
3,14,2.76
3,15,327.16
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,3.72
3,29,0.0
3,30,0.0
3,31,0.0
3,32,531.158
3,33,3.23
4,1,0.0
4,2,0.0
