stage,objective
1,2.7002356920000017e6
2,3.021768023185797e6
3,3.0217869189091846e6
4,3.02176855186709e6
5,3.021766846878201e6
6,3.0217667888169587e6
7,2.700234937856935e6
8,2.6394717673342153e6
9,1.8630246985e6
10,2.2848530599999987e6
11,1.528176700317759e6
12,2.053371798729349e6
13,2.7434493893621154e6
14,3.9552934303291664e6
15,3.49141202672128e6
16,2.209408317125749e6
17,1.4888295657032002e6
18,1.9545833742871294e6
19,1.2723132479563914e6
20,1.0639608450600002e6
21,1.1694525355507573e6
22,1.3522027920938963e6
23,1.0913513486561931e6
24,1.0019287301969165e6
