stage,objective
1,340078.4790400006
2,510697.13116000034
3,510620.0100599993
4,532931.4091599993
5,532872.9993600007
6,520708.2448149789
7,532940.2787599992
8,532864.3047599997
9,660454.8378283456
10,716981.2078600004
11,717061.074860001
12,923821.2628958691
13,1.0432465523600001e6
14,1.5282934476000015e6
15,1.5283492877999991e6
16,929655.1431316361
17,1.5282780799000002e6
18,927305.3342599999
19,1.0052131003600005e6
20,1.0053617462599999e6
21,504018.78263898846
22,268764.25624
23,538304.5826469341
24,1.2818198062000007e6
