region,depth,value
1,1,2261.7000000000003
1,2,564.85
1,3,545.7
1,4,335.05
2,1,2261.7000000000003
2,2,564.85
2,3,545.7
2,4,335.05
3,1,588.3392412029907
3,2,1129.7
3,3,0.0
3,4,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
