stage,objective
1,340078.4790400006
2,336196.216740001
3,291901.51554000005
4,310104.79433999956
5,389681.9113599993
6,510667.2092599999
7,510623.29725999944
8,510617.4946599994
9,510654.6940418165
10,389630.2932781838
11,510690.4098599991
12,510716.90885999985
13,803026.4017599998
14,717083.3995599998
15,927421.6522599999
16,1.292249444283899e6
17,964074.1478267312
18,1.5282266141999997e6
19,1.528270097799641e6
20,1.8630221694999998e6
21,2.1164514208000004e6
22,1.5284287115999998e6
23,3.084480664303189e6
24,245164.97474
