stage,objective
1,2.7002356920000017e6
2,802958.680424802
3,1.5282056238508895e6
4,1.0432080509389602e6
5,802949.2269252762
6,927258.8212600015
7,734264.6882600002
8,924901.3249842562
9,912362.6455428433
10,826351.3428958636
11,773626.1264614072
12,663347.8709154092
13,716935.9846000001
14,802952.5950424168
15,870352.7276000008
16,802948.0415869523
17,687220.743858723
18,802943.6097738948
19,336145.73713999987
20,663350.0930833034
21,301925.4164251215
22,291864.63714
23,256468.80625471903
24,245083.69535339205
