stage,objective
1,2.7002356920000017e6
2,3.0217695302174017e6
3,2.2848618536583856e6
4,2.4531950818269625e6
5,2.9735998630377203e6
6,3.021765926102139e6
7,2.284848256229982e6
8,2.6839494460518584e6
9,2.6839531430319063e6
10,3.021768211353399e6
11,3.0217707698985673e6
12,1.5281773145000003e6
13,844402.7610513754
14,1.6287616772827096e6
15,2.1164670956769846e6
16,2.0394769325394165e6
17,3.246102437902946e6
18,3.0217734206580333e6
19,2.7002318734724913e6
20,1.528171746867029e6
21,1.8630172030221839e6
22,1.8630156306745508e6
23,1.8630195713094268e6
24,283741.1137274346
