stage,objective
1,340078.4790400006
2,336198.8420400005
3,373895.4981800001
4,310101.3893400002
5,310015.6799400002
6,310016.9518400002
7,310016.3468399998
8,310013.7648400003
9,310028.16665999964
10,310041.02524000034
11,291918.85403999966
12,310165.8887400003
13,281855.27783999965
14,663411.2741600005
15,803091.5356600005
16,803027.82816
17,803051.51566
18,1.2639462073600003e6
19,802993.3992600003
20,1.0051889024600005e6
21,440966.48355680634
22,340119.94484
23,245399.1626400001
24,245505.31544
