stage,objective
1,340078.4790400006
2,510771.6849600002
3,510672.0452599991
4,510695.88306000084
5,510683.9262600001
6,510624.1919599995
7,310021.70783999935
8,310013.7648400003
9,510606.4377600001
10,389655.6161600007
11,497736.0218957281
12,717147.0863600001
13,256682.2601399999
14,281843.3850400001
15,256648.17154
16,256554.08564000018
17,256510.7652400001
18,256542.15304000024
19,253634.55423999997
20,256470.78704000008
21,256483.57784000016
22,268738.8131400001
23,256548.12604000006
24,666026.3627557716
