stage,objective
1,340078.4790400006
2,510791.3021600004
3,510612.12806
4,532941.4171600007
5,532894.0418599993
6,532878.5327599999
7,532876.5272599999
8,532873.8307600003
9,802974.2670600004
10,1.394189538687341e6
11,1.261140580232894e6
12,7.485480568520019e6
13,844449.9333599992
14,1.0432149613600001e6
15,1.528359581699999e6
16,1.8631354136999995e6
17,1.5282541316962186e6
18,2.1164472446e6
19,1.8202267702269852e6
20,2.2094096280999994e6
21,3.2496793128564693e6
22,9.18238532241714e6
23,318173.40533661586
24,245219.23934000003
