stage,objective
1,2.7002356920000017e6
2,927271.1005235985
3,741232.102340769
4,927264.6289420836
5,802945.8877599984
6,1.0431863542600013e6
7,803669.6972599998
8,1.0430521056276932e6
9,310000.7881400008
10,802945.7564880792
11,2.721741583826609e6
12,729985.2296999991
13,510596.4484000001
14,802956.7908718791
15,1.528177560914291e6
16,1.4786525023121573e6
17,907657.061684099
18,807882.1709159529
19,1.1802940256302822e6
20,1.4786431883999994e6
21,907654.3417000002
22,802948.9317562007
23,248407.93117809552
24,245085.13049115072
