stage,objective
1,2.7002356920000017e6
2,1.0431895112280995e6
3,756039.2202003002
4,420800.4780043531
5,475651.80595675204
6,291866.0806856621
7,268726.0029553175
8,268726.21272426285
9,272354.1318773711
10,256466.7505900003
11,256468.25379
12,256471.4051400004
13,268728.59478999954
14,268747.6166095892
15,256519.56923251227
16,268769.0944635873
17,392785.7931257393
18,256469.76925294334
19,256470.46319000004
20,256466.87598
21,248404.46742
22,256468.50141000003
23,245085.8619866087
24,245083.02260000003
